Record Id,COA Status,Modified By.id,Modified Time,Currency,Exchange Rate,ITIN COA.id,Duration (Time),Last Activity Time,Duration (Days),Moved To,Mailed,Tracking Number
zcrm_5861855000016132017,Ready,zcrm_5861855000000432001,2024-08-23 13:02:19,USD,1.000000000,zcrm_5861855000016161007,15 hours 3 minutes,2024-08-24 04:05:22,1,Waiting,false,
zcrm_5861855000016132019,Ready,zcrm_5861855000000432001,2024-08-23 13:02:19,USD,1.000000000,zcrm_5861855000016173007,15 hours 3 minutes,2024-08-24 04:05:20,1,Waiting,false,
zcrm_5861855000016132021,Ready,zcrm_5861855000000432001,2024-08-23 13:02:19,USD,1.000000000,zcrm_5861855000016174001,15 hours 2 minutes,2024-08-24 04:05:18,1,Waiting,false,
zcrm_5861855000016161011,New Request,zcrm_5861855000000432001,2024-08-23 12:05:26,USD,1.000000000,zcrm_5861855000016161007,56 minutes,2024-08-23 13:02:19,0,Ready,false,
zcrm_5861855000016165005,New Request,zcrm_5861855000000432001,2024-08-23 11:23:10,USD,1.000000000,zcrm_5861855000016165001,8 minutes,2024-08-23 11:31:36,0,In Progress,false,
zcrm_5861855000016169011,In Progress,zcrm_5861855000000432001,2024-08-23 11:31:36,USD,1.000000000,zcrm_5861855000016165001,31 minutes,2024-08-23 12:03:19,0,Ready,false,
zcrm_5861855000016170001,Ready,zcrm_5861855000000432001,2024-08-23 12:03:19,USD,1.000000000,zcrm_5861855000016165001,16 hours 2 minutes,2024-08-24 04:05:24,1,Waiting,false,
zcrm_5861855000016173011,New Request,zcrm_5861855000000432001,2024-08-23 12:14:09,USD,1.000000000,zcrm_5861855000016173007,48 minutes,2024-08-23 13:02:19,0,Ready,false,
zcrm_5861855000016174005,New Request,zcrm_5861855000000432001,2024-08-23 12:12:36,USD,1.000000000,zcrm_5861855000016174001,49 minutes,2024-08-23 13:02:19,0,Ready,false,
zcrm_5861855000016182134,Waiting,zcrm_5861855000000432001,2024-08-24 04:05:18,USD,1.000000000,zcrm_5861855000016174001,,2024-08-24 04:05:18,,,true,92055903470167300022492857
zcrm_5861855000016182148,Waiting,zcrm_5861855000000432001,2024-08-24 04:05:20,USD,1.000000000,zcrm_5861855000016173007,,2024-08-24 04:05:20,,,true,92055903470167300022492857
zcrm_5861855000016182162,Waiting,zcrm_5861855000000432001,2024-08-24 04:05:22,USD,1.000000000,zcrm_5861855000016161007,,2024-08-24 04:05:22,,,true,92055903470167300022492857
zcrm_5861855000016182176,Waiting,zcrm_5861855000000432001,2024-08-24 04:05:24,USD,1.000000000,zcrm_5861855000016165001,,2024-08-24 04:05:24,,,true,92055903470167300022492857
zcrm_5861855000016454005,New Request,zcrm_5861855000000432001,2024-09-10 16:08:54,USD,1.000000000,zcrm_5861855000016454001,9 minutes,2024-09-10 16:18:31,0,In Progress,false,
zcrm_5861855000016456005,New Request,zcrm_5861855000000432001,2024-09-10 16:10:28,USD,1.000000000,zcrm_5861855000016456001,6 minutes,2024-09-10 16:17:14,0,In Progress,false,
zcrm_5861855000016458005,New Request,zcrm_5861855000000432001,2024-09-10 16:12:03,USD,1.000000000,zcrm_5861855000016458001,1 minute,2024-09-10 16:13:54,0,In Progress,false,
zcrm_5861855000016460051,In Progress,zcrm_5861855000000432001,2024-09-10 16:13:54,USD,1.000000000,zcrm_5861855000016458001,15 minutes,2024-09-10 16:29:48,0,Ready,false,
zcrm_5861855000016461020,In Progress,zcrm_5861855000000432001,2024-09-10 16:17:14,USD,1.000000000,zcrm_5861855000016456001,12 minutes,2024-09-10 16:29:55,0,Ready,false,
zcrm_5861855000016461062,In Progress,zcrm_5861855000000432001,2024-09-10 16:18:31,USD,1.000000000,zcrm_5861855000016454001,11 minutes,2024-09-10 16:30:01,0,Ready,false,
zcrm_5861855000016461097,Ready,zcrm_5861855000000432001,2024-09-10 16:29:48,USD,1.000000000,zcrm_5861855000016458001,11 minutes,2024-09-10 16:41:16,0,Waiting,false,
zcrm_5861855000016461111,Ready,zcrm_5861855000000432001,2024-09-10 16:29:55,USD,1.000000000,zcrm_5861855000016456001,10 minutes,2024-09-10 16:40:52,0,Waiting,false,
zcrm_5861855000016461125,Ready,zcrm_5861855000000432001,2024-09-10 16:30:01,USD,1.000000000,zcrm_5861855000016454001,2 minutes,2024-09-10 16:32:41,0,Waiting,false,
zcrm_5861855000016461139,Waiting,zcrm_5861855000000432001,2024-09-10 16:32:41,USD,1.000000000,zcrm_5861855000016454001,,2024-09-10 16:32:41,,,false,
zcrm_5861855000016461182,Waiting,zcrm_5861855000000432001,2024-09-10 16:40:52,USD,1.000000000,zcrm_5861855000016456001,,2024-09-10 16:40:52,,,true,https://www.srv1ne.com/delivery
zcrm_5861855000016461214,Waiting,zcrm_5861855000000432001,2024-09-10 16:41:16,USD,1.000000000,zcrm_5861855000016458001,,2024-09-10 16:41:16,,,true,https://www.srv1ne.com/delivery
zcrm_5861855000016787005,New Request,zcrm_5861855000000432001,2024-10-11 07:28:21,USD,1.000000000,zcrm_5861855000016787001,,2024-10-11 07:28:21,,,false,
