Record Id,Status,Modified By.id,Modified Time,Currency,Exchange Rate,Subject.id,Duration (Time),Last Activity Time,Duration (Days),Moved To,Ticket Reason,Priority
zcrm_5861855000015689554,Closed,zcrm_5861855000000432001,2024-07-23 12:24:24,USD,1.000000000,zcrm_5861855000015690001,,2024-07-23 12:24:24,,,General Inquiry,
zcrm_5861855000015690003,New,zcrm_5861855000000432001,2024-07-23 12:20:58,USD,1.000000000,zcrm_5861855000015690001,3 minutes,2024-07-23 12:24:24,0,Closed,General Inquiry,
zcrm_5861855000015708003,New,zcrm_5861855000000432001,2024-07-24 03:53:38,USD,1.000000000,zcrm_5861855000015708001,19 minutes,2024-07-24 04:13:10,0,Escalated,General Inquiry,Medium
zcrm_5861855000015708142,Escalated,zcrm_5861855000000432001,2024-07-24 04:13:10,USD,1.000000000,zcrm_5861855000015708001,13 minutes,2024-07-24 04:27:04,0,Waiting for Info,General Inquiry,Medium
zcrm_5861855000015708187,Closed,zcrm_5861855000000432001,2024-07-24 10:24:03,USD,1.000000000,zcrm_5861855000002957004,,2024-07-24 10:24:03,,,,
zcrm_5861855000015708189,Closed,zcrm_5861855000000432001,2024-07-24 10:24:03,USD,1.000000000,zcrm_5861855000003184001,,2024-07-24 10:24:03,,,New problem,High
zcrm_5861855000015708191,Closed,zcrm_5861855000000432001,2024-07-24 10:24:03,USD,1.000000000,zcrm_5861855000007504098,,2024-07-24 10:24:03,,,,High
zcrm_5861855000015708203,Closed,zcrm_5861855000000432001,2024-07-24 10:24:28,USD,1.000000000,zcrm_5861855000011528282,,2024-07-24 10:24:28,,,Existing problem,High
zcrm_5861855000015708211,Closed,zcrm_5861855000000432001,2024-07-24 10:25:16,USD,1.000000000,zcrm_5861855000001013024,,2024-07-24 10:25:16,,,Cierre Del Mes / Close of Month,
zcrm_5861855000015708213,Closed,zcrm_5861855000000432001,2024-07-24 10:25:16,USD,1.000000000,zcrm_5861855000001013032,,2024-07-24 10:25:16,,,Cierre Del Mes / Close of Month,
zcrm_5861855000015708215,Closed,zcrm_5861855000000432001,2024-07-24 10:25:16,USD,1.000000000,zcrm_5861855000001013040,,2024-07-24 10:25:16,,,Cierre Del Mes / Close of Month,
zcrm_5861855000015708217,Closed,zcrm_5861855000000432001,2024-07-24 10:25:16,USD,1.000000000,zcrm_5861855000001013048,,2024-07-24 10:25:16,,,Cierre Del Mes / Close of Month,
zcrm_5861855000015708219,Closed,zcrm_5861855000000432001,2024-07-24 10:25:16,USD,1.000000000,zcrm_5861855000001015014,,2024-07-24 10:25:16,,,Cierre Del Mes / Close of Month,
zcrm_5861855000015708221,Closed,zcrm_5861855000000432001,2024-07-24 10:25:16,USD,1.000000000,zcrm_5861855000001049016,,2024-07-24 10:25:16,,,Complex functionality,High
zcrm_5861855000015708223,Closed,zcrm_5861855000000432001,2024-07-24 10:25:16,USD,1.000000000,zcrm_5861855000001547002,,2024-07-24 10:25:16,,,New problem,High
zcrm_5861855000015708225,Closed,zcrm_5861855000000432001,2024-07-24 10:25:16,USD,1.000000000,zcrm_5861855000003436001,,2024-07-24 10:25:16,,,Complex functionality,High
zcrm_5861855000015711001,Waiting for Info,zcrm_5861855000000432001,2024-07-24 04:27:04,USD,1.000000000,zcrm_5861855000015708001,,2024-07-24 04:27:04,,,General Inquiry,Medium
zcrm_5861855000015715001,Closed,zcrm_5861855000000432001,2024-07-24 04:35:10,USD,1.000000000,zcrm_5861855000015523036,,2024-07-24 04:35:10,,,Document Preparation and Review,High
zcrm_5861855000015716001,Closed,zcrm_5861855000000432001,2024-07-24 04:35:29,USD,1.000000000,zcrm_5861855000015234001,,2024-07-24 04:35:29,,,,
zcrm_5861855000015717001,Closed,zcrm_5861855000000432001,2024-07-24 04:36:05,USD,1.000000000,zcrm_5861855000012056001,,2024-07-24 04:36:05,,,,
zcrm_5861855000015746279,New,zcrm_5861855000000432001,2024-07-24 14:24:26,USD,1.000000000,zcrm_5861855000015746277,6 days 7 hours 24 minutes,2024-07-30 21:48:29,6,Closed,Document Preparation and Review,High
zcrm_5861855000015845007,New,zcrm_5861855000000432001,2024-07-30 21:00:06,USD,1.000000000,zcrm_5861855000015845001,47 minutes,2024-07-30 21:47:59,0,Closed,COA for ITIN Request,
zcrm_5861855000015851003,New,zcrm_5861855000000432001,2024-07-30 21:42:02,USD,1.000000000,zcrm_5861855000015851001,5 minutes,2024-07-30 21:47:42,0,Closed,COA for ITIN Request,
zcrm_5861855000015855001,Closed,zcrm_5861855000000432001,2024-07-30 21:47:42,USD,1.000000000,zcrm_5861855000015851001,,2024-07-30 21:47:42,,,COA for ITIN Request,
zcrm_5861855000015855028,Closed,zcrm_5861855000000432001,2024-07-30 21:47:59,USD,1.000000000,zcrm_5861855000015845001,,2024-07-30 21:47:59,,,COA for ITIN Request,
zcrm_5861855000015855056,Closed,zcrm_5861855000000432001,2024-07-30 21:48:29,USD,1.000000000,zcrm_5861855000015746277,,2024-07-30 21:48:29,,,Document Preparation and Review,High
zcrm_5861855000015898094,New,zcrm_5861855000000432001,2024-08-04 10:04:34,USD,1.000000000,zcrm_5861855000015898092,16 days 14 hours 46 minutes,2024-08-21 00:51:27,17,Waiting for Info,Document Preparation and Review,Medium
zcrm_5861855000015907003,New,zcrm_5861855000000432001,2024-08-05 01:49:54,USD,1.000000000,zcrm_5861855000015907001,0 minute,2024-08-05 01:50:03,0,Waiting for Info,Existing problem,Low
zcrm_5861855000015907030,Waiting for Info,zcrm_5861855000000432001,2024-08-05 01:50:03,USD,1.000000000,zcrm_5861855000015907001,15 days 22 hours 48 minutes,2024-08-21 00:38:25,16,Closed,Existing problem,Low
zcrm_5861855000016040015,New,zcrm_5861855000000432001,2024-08-20 22:48:16,USD,1.000000000,zcrm_5861855000016040013,1 hour 38 minutes,2024-08-21 00:26:56,1,Waiting for Info,Tax Advisory Inquiries,High
zcrm_5861855000016044030,Waiting for Info,zcrm_5861855000000432001,2024-08-21 00:26:56,USD,1.000000000,zcrm_5861855000016040013,,2024-08-21 00:26:56,,,Tax Advisory Inquiries,High
zcrm_5861855000016047018,Closed,zcrm_5861855000000432001,2024-08-21 00:38:25,USD,1.000000000,zcrm_5861855000015907001,,2024-08-21 00:38:25,,,Existing problem,Low
zcrm_5861855000016047073,Waiting for Info,zcrm_5861855000000432001,2024-08-21 00:51:27,USD,1.000000000,zcrm_5861855000015898092,,2024-08-21 00:51:27,,,Document Preparation and Review,Medium
zcrm_5861855000016087043,New,zcrm_5861855000000432001,2024-08-22 00:06:07,USD,1.000000000,zcrm_5861855000016087041,,2024-08-22 00:06:07,,,Tax Advisory Inquiries,High
zcrm_5861855000016087187,New,zcrm_5861855000000432001,2024-08-22 00:36:20,USD,1.000000000,zcrm_5861855000016087185,,2024-08-22 00:36:20,,,COA for ITIN Request,High
zcrm_5861855000016087259,New,zcrm_5861855000000432001,2024-08-22 00:39:14,USD,1.000000000,zcrm_5861855000016087257,,2024-08-22 00:39:14,,,General Inquiry,
zcrm_5861855000016444099,New,zcrm_5861855000000432001,2024-09-10 15:32:47,USD,1.000000000,zcrm_5861855000016444097,0 minute,2024-09-10 15:33:38,0,Closed,Notary Services,High
zcrm_5861855000016444124,Closed,zcrm_5861855000000432001,2024-09-10 15:33:38,USD,1.000000000,zcrm_5861855000016444097,,2024-09-10 15:33:38,,,Notary Services,High
zcrm_5861855000016574033,New,zcrm_5861855000000432001,2024-09-22 20:12:10,USD,1.000000000,zcrm_5861855000016574031,,2024-09-22 20:12:10,,,Document Preparation and Review,High
zcrm_5861855000016714003,Active,zcrm_5861855000000432001,2024-10-03 19:30:08,USD,1.000000000,zcrm_5861855000016714001,,2024-10-03 19:30:08,,,General Inquiry,
